player,name,cluster
/carlos-alcaraz/profil/spieler/748319,Carlos Alcaraz,4
/stuart-armstrong/profil/spieler/130765,Stuart Armstrong,4
/ainsley-maitland-niles/profil/spieler/285845,Ainsley Maitland-Niles,4
/joe-aribo/profil/spieler/468198,Joe Aribo,3
/kamaldeen-sulemana/profil/spieler/746695,Kamaldeen Sulemana,3
/mohamed-elyounoussi/profil/spieler/186644,Mohamed Elyounoussi,4
/moussa-djenepo/profil/spieler/485424,Moussa Djenepo,4
/mislav-orsic/profil/spieler/119150,Mislav Orsic,4
/samuel-edozie/profil/spieler/680806,Samuel Edozie,4
/theo-walcott/profil/spieler/33713,Theo Walcott,3
/che-adams/profil/spieler/346779,Ché Adams,3
/paul-onuachu/profil/spieler/272855,Paul Onuachu,3
/adam-armstrong/profil/spieler/250426,Adam Armstrong,3
/sekou-mara/profil/spieler/557612,Sékou Mara,4
/robert-sanchez/profil/spieler/403151,Robert Sánchez,3
/jason-steele/profil/spieler/73564,Jason Steele,0
/tom-mcgill/profil/spieler/406556,Tom McGill,0
/adam-webster/profil/spieler/212847,Adam Webster,3
/lewis-dunk/profil/spieler/148153,Lewis Dunk,3
/levi-colwill/profil/spieler/614258,Levi Colwill,3
/jan-paul-van-hecke/profil/spieler/576314,Jan Paul van Hecke,0
/pervis-estupinan/profil/spieler/349599,Pervis Estupiñán,3
/tariq-lamptey/profil/spieler/504148,Tariq Lamptey,3
/joel-veltman/profil/spieler/111195,Joël Veltman,4
/moises-caicedo/profil/spieler/687626,Moisés Caicedo,2
/alexis-mac-allister/profil/spieler/534033,Alexis Mac Allister,2
/jakub-moder/profil/spieler/384461,Jakub Moder,4
/billy-gilmour/profil/spieler/423744,Billy Gilmour,4
/pascal-gross/profil/spieler/82873,Pascal Groß,4
/yasin-ayari/profil/spieler/667287,Yasin Ayari,0
/facundo-buonanotte/profil/spieler/983989,Facundo Buonanotte,4
/jeremy-sarmiento/profil/spieler/568005,Jeremy Sarmiento,4
/adam-lallana/profil/spieler/43530,Adam Lallana,3
/kaoru-mitoma/profil/spieler/504849,Kaoru Mitoma,3
/solly-march/profil/spieler/209212,Solly March,3
/julio-enciso/profil/spieler/660867,Julio Enciso,4
/evan-ferguson/profil/spieler/648046,Evan Ferguson,4
/danny-welbeck/profil/spieler/67063,Danny Welbeck,4
/deniz-undav/profil/spieler/339314,Deniz Undav,4
/jordan-pickford/profil/spieler/130164,Jordan Pickford,2
/asmir-begovic/profil/spieler/33873,Asmir Begovic,4
/andy-lonergan/profil/spieler/14044,Andy Lonergan,0
/james-tarkowski/profil/spieler/173504,James Tarkowski,3
/conor-coady/profil/spieler/128901,Conor Coady,3
/ben-godfrey/profil/spieler/343475,Ben Godfrey,3
/mason-holgate/profil/spieler/348623,Mason Holgate,3
/yerry-mina/profil/spieler/289446,Yerry Mina,3
/michael-keane/profil/spieler/118534,Michael Keane,3
/vitaliy-mykolenko/profil/spieler/404842,Vitaliy Mykolenko,3
/ruben-vinagre/profil/spieler/357158,Rúben Vinagre,4
/nathan-patterson/profil/spieler/424015,Nathan Patterson,4
/seamus-coleman/profil/spieler/68390,Seamus Coleman,4
/amadou-onana/profil/spieler/485706,Amadou Onana,2
/james-garner/profil/spieler/505219,James Garner,4
/abdoulaye-doucoure/profil/spieler/127187,Abdoulaye Doucouré,3
/tom-davies/profil/spieler/314210,Tom Davies,3
/idrissa-gueye/profil/spieler/126665,Idrissa Gueye,3
/alex-iwobi/profil/spieler/242631,Alex Iwobi,3
/demarai-gray/profil/spieler/292417,Demarai Gray,3
/dwight-mcneil/profil/spieler/584769,Dwight McNeil,3
/andros-townsend/profil/spieler/61842,Andros Townsend,4
/dominic-calvert-lewin/profil/spieler/306024,Dominic Calvert-Lewin,2
/neal-maupay/profil/spieler/217115,Neal Maupay,3
/ellis-simms/profil/spieler/511550,Ellis Simms,0
/dean-henderson/profil/spieler/258919,Dean Henderson,3
/keylor-navas/profil/spieler/79422,Keylor Navas,4
/wayne-hennessey/profil/spieler/45494,Wayne Hennessey,0
/moussa-niakhate/profil/spieler/291200,Moussa Niakhaté,3
/scott-mckenna/profil/spieler/255906,Scott McKenna,4
/joe-worrall/profil/spieler/415970,Joe Worrall,4
/willy-boly/profil/spieler/142310,Willy Boly,4
/steve-cook/profil/spieler/90836,Steve Cook,4
/felipe/profil/spieler/156501,Felipe,3
/renan-lodi/profil/spieler/476352,Renan Lodi,2
/omar-richards/profil/spieler/424881,Omar Richards,4
/harry-toffolo/profil/spieler/198516,Harry Toffolo,0
/neco-williams/profil/spieler/503680,Neco Williams,3
/giulian-biancone/profil/spieler/536507,Giulian Biancone,4
/serge-aurier/profil/spieler/127032,Serge Aurier,4
/danilo/profil/spieler/808509,Danilo,3
/cheikhou-kouyate/profil/spieler/66934,Cheikhou Kouyaté,4
/jack-colback/profil/spieler/61644,Jack Colback,4
/orel-mangala/profil/spieler/289592,Orel Mangala,3
/remo-freuler/profil/spieler/148252,Remo Freuler,3
/ryan-yates/profil/spieler/425902,Ryan Yates,4
/jonjo-shelvey/profil/spieler/71292,Jonjo Shelvey,4
/harry-arter/profil/spieler/55742,Harry Arter,4
/cafu/profil/spieler/203655,Cafú,0
/morgan-gibbs-white/profil/spieler/429014,Morgan Gibbs-White,3
/brennan-johnson/profil/spieler/470607,Brennan Johnson,3
/jesse-lingard/profil/spieler/141660,Jesse Lingard,3
/gustavo-scarpa/profil/spieler/330085,Gustavo Scarpa,4
/andre-ayew/profil/spieler/45403,André Ayew,4
/alex-mighten/profil/spieler/503988,Alex Mighten,0
/taiwo-awoniyi/profil/spieler/295313,Taiwo Awoniyi,3
/emmanuel-dennis/profil/spieler/448854,Emmanuel Dennis,4
/chris-wood/profil/spieler/108725,Chris Wood,4
/sam-surridge/profil/spieler/398402,Sam Surridge,0
/lyle-taylor/profil/spieler/104495,Lyle Taylor,0
/illan-meslier/profil/spieler/542586,Illan Meslier,3
/kristoffer-klaesson/profil/spieler/418561,Kristoffer Klaesson,0
/joel-robles/profil/spieler/101118,Joel Robles,4
/robin-koch/profil/spieler/328784,Robin Koch,3
/maximilian-wober/profil/spieler/263361,Maximilian Wöber,4
/liam-cooper/profil/spieler/75067,Liam Cooper,4
/pascal-struijk/profil/spieler/410708,Pascal Struijk,3
/junior-firpo/profil/spieler/374139,Junior Firpo,3
/rasmus-kristensen/profil/spieler/369684,Rasmus Kristensen,3
/luke-ayling/profil/spieler/67420,Luke Ayling,0
/stuart-dallas/profil/spieler/158764,Stuart Dallas,0
/tyler-adams/profil/spieler/332705,Tyler Adams,3
/marc-roca/profil/spieler/336869,Marc Roca,3
/weston-mckennie/profil/spieler/332697,Weston McKennie,3
/adam-forshaw/profil/spieler/121257,Adam Forshaw,0
/brenden-aaronson/profil/spieler/393323,Brenden Aaronson,3
/sam-greenwood/profil/spieler/532178,Sam Greenwood,0
/jack-harrison/profil/spieler/417346,Jack Harrison,3
/luis-sinisterra/profil/spieler/512385,Luis Sinisterra,3
/wilfried-gnonto/profil/spieler/627626,Wilfried Gnonto,3
/crysencio-summerville/profil/spieler/474701,Crysencio Summerville,4
/georginio-rutter/profil/spieler/538977,Georginio Rutter,3
/patrick-bamford/profil/spieler/183334,Patrick Bamford,3
/rodrigo/profil/spieler/131505,Rodrigo,2
